Strategy,Mean PnL ($),Std Dev ($),Sharpe Ratio,Win Rate (%),VaR 95% ($)
Baseline (AS),-20925.641841835462,10395.952350545405,-2.012864347028752,1.175,-37776.40242214407
RL Agent (PPO),-467.2676190863274,149.12179895538307,-3.133462841959612,0.0,-694.9364848149262
